FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Tom Aaron,,155.0,,,1978-07-13,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,71.0,155.0,,Orthodox,1983-07-03,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,68.0,155.0,66.0,Orthodox,1994-02-01,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,74.0,265.0,80.0,Orthodox,1993-02-25,http://ufcstats.com/fighter-details/4961467134abd8be
David Abbott,72.0,265.0,,Switch,1965-04-26,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,74.0,264.0,72.0,Southpaw,1993-01-22,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur Abdul-Malik,74.0,185.0,80.0,Orthodox,1997-10-07,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,66.0,145.0,,Orthodox,,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,71.0,185.0,,Southpaw,1978-06-30,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,71.0,185.0,,Orthodox,1984-04-27,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg Abreu,,,,,1980-12-20,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel Acacio,68.0,180.0,,Orthodox,1977-12-27,http://ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,69.0,170.0,75.0,Orthodox,1991-06-22,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,72.0,225.0,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,73.0,185.0,76.0,Orthodox,1988-01-13,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1992-07-29,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam Adkins,75.0,225.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed Ado,71.0,170.0,76.0,Switch,2000-05-03,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick Agallar,68.0,155.0,,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya Agapova,66.0,125.0,68.0,Southpaw,1997-04-07,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj Agasa,,135.0,,,1992-02-16,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo Aguiar,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio Aguiar,72.0,185.0,,,1988-02-10,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin Aguilar,70.0,185.0,,,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin Aguilar,67.0,155.0,73.0,Orthodox,1988-09-07,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus Aguilar,64.0,125.0,62.0,Orthodox,1996-03-13,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian Aguilera,69.0,170.0,72.0,Switch,1991-11-25,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick Aguirre,69.0,135.0,74.0,Southpaw,1996-01-15,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Agulali,69.0,125.0,67.0,Switch,2005-04-07,http://ufcstats.com/fighter-details/b2efa582adf73604
Ahejiang Ailinuer,,145.0,,,,http://ufcstats.com/fighter-details/ff584c17bccbae0b
Mike Aina,69.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek Ajim,68.0,135.0,71.0,Switch,1994-06-19,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi Akano,64.0,135.0,,Southpaw,1974-07-27,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,1975-07-29,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak Al-Hassan,74.0,205.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem Al-Selwady,68.0,155.0,69.0,Orthodox,1995-04-10,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,74.0,205.0,75.0,Orthodox,1991-06-07,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi Alanis,66.0,135.0,,,,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,65.0,135.0,66.0,Orthodox,1991-12-14,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,65.0,125.0,68.0,Orthodox,1993-10-27,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett Albee,,225.0,,,,http://ufcstats.com/fighter-details/9b28292abe3166d5
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,http://ufcstats.com/fighter-details/c482c8605455a213
Wes Albritton,70.0,188.0,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel Albuquerque,,185.0,,Orthodox,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan Alcain,,,,,,http://ufcstats.com/fighter-details/39f62b833e4cf126
